,Business_Description,SD_Accept_reject
202,Company is engaged in providing structural engineering services  Main Income is from Services,Reject
203,Company is engaged in providing engineering and mining services.  Main Income is from Mining Contractors,Reject
204,Company is engaged in providing infrastructure consultancy   Main Income is from Consultancy Charges,Reject
205,"company is engaged in providing data processing, software development and computer consultancy services. Its Infrastructure Management Group division offers a range of products and services, including system integration, Web solutions and application. Its system integration services include hardware sales and services, network integration, and system maintenance and up gradation. Its Web solutions include domain registration, Website hosting, Website designing and E-Commerce development. Its application services include information technology (IT) enabled services. Its Application Management Group division offers various services, such as enterprise resource planning, Microsoft Dynamics NAV and SAP Business One. Its products include Diinsy CRM, Diinsy Expense, Diinsy Helpdesk, DIINSY Service Desk and Product Configurator. Diinsy Helpdesk is a Web-based customer service/support delivery software. Diinsy Expense is an online solution for reporting business and travel expenses.  Main Income is from Outsourced Activities",Reject
206,"Company is engaged in providing software development, cloud services for jewellers  Main Income is from Software Development",Reject
207,"Company is engaged in providing business process outsourcing services. The company offers inbound and outbound call center services. It also offers debt collection services for medical collections, credit card collections, auto deficiencies, commercial collections, and mortgage collections industry segments.   Main Income is from Service Charges From Call Center Operations",Reject
208,"Company is engaged in providing telecommunications services, such as Microsoft server solutions, structured cabling services, business telephony, wireless networking, and broadband services.   Main Income is from Income From Operations",Reject
209,"Company is engaged in providing consultancy, project management, network design, installation, managed network, training, and maintenance services. It offers application network solutions and IT services for enterprises, telecom service providers, and contact centers. Main Income is from Software. The company operates in two segments viz products(61%) and Services(39%)[2018].",Reject
210,Company is engaged in providing diagnostic instruments for industrial power users.  Main Income is from Equipment Relating To Electrical Power Industries,Reject
211,"Company is engaged in providing intellectual property, technology, and market research services. It offers Patent Dashboard, a software as a service based collaborative tool that enables companies to visualize, search, and map the relevant competitive patent landscape; determine patent value; and accelerate time to commercialize their patents. The company also offers Dolcera Wiki, a media Wiki platform that powers the Wikipedia used to present the research; and Sequence Dashboard, a framework and tool to visually analyze gene sequences for research purposes. In addition, it publishes technology, industry, and company reports for end users in the fields of patent, intellectual property, business research, market research, technology analysis, company analysis, competitive intelligence, and innovation management. Further, the company provides patent analytics services that include patent search and landscapes, and alerts and updates; business and market research services, such as market trend analysis, competitive trends, and alerts and updates; and collaboration and knowledge management services, including conducting knowledge audits in innovation environment, and intellectual property management repository.   Main Income is from Software Services",Reject
212,website unavailable  Main Income is from It Enabled Services,Reject
213,"Company is engaged in providing design and manufacture of products and components for communications, life sciences, aerospace/industrial, and defense markets.   Main Income is from Software Services. The company operates in two segments viz fluid management and engineered componants(57%) and software development support and other support services(43%)[2016].",Reject
214,"company is engaged in providing chemical, agro sciences, plastics business advisory services  Main Income is from Formulations (Kls)",Reject
215,"Company is engaged in providing technology solutions to the digital and infrastructure business sectors. It provides servers, storages, desktops, laptops, PDAs, tablets, security and surveillance products, and energy management systems, as well as procurement and sourcing solutions. The company also installs dry flue gas desulfurization systems.   Main Income is from Computer Systems, Peripherals & Software Products",Reject
216,Company is engaged in providing wholesale distribution of industrial machinery and equipment.  Main Income is from Supply & Installation Of Paint Shop,Reject
217,Company is engaged in providing infrastructure construction services.   Main Income is from Civil Engineering,Reject
218,Company is engaged in providing Cloud platform and support services  Main Income is from Income From Operation,Reject
219,"Company is engaged in providingsecurity, digitisation, cloud integration and network assurance  Main Income is from Services",Reject
220,Company is engaged in providing integrated infrastructure services (hardware)  Main Income is from Services,Reject
221,"Company is engaged in providing End-user computing, cloud infrastructure transformation, application transformation to the clients.  Main Income is from It Enabled Services. The company operates in software development services and ITeS(100%)[2017].",Reject
222,"Company is engaged in providing moneycontrol.com, subsidiary of TV18 and thus RIL.  Main Income is from Income From Operations",Reject
223,"Company is engaged in providing product engineering and software R&D services. Its services include application software development, e-Commerce consulting, mobility, BI and data visualization, firmware and system software development, board design, ASIC/SOC/FPGA, mechanical engineering, system validation and verification, and QA and testing. The company provides solutions in the areas of QA and automation IPs, camera design solutions, the idea lab, Internet of Things, retail site intelligence, multimedia and infotainment, video IPs, verification IPs, manufacturing, reengineering, and sustenance.Main Income is from Software Development Charges",Reject
224,"Company is engaged in providing software product engineering and enterprise application development services. It designs, develops, enhances, migrates, tests, and maintains software products and applications. The company offers outsourced product development services, including new product design and development, feature enhancement, product platform migration, software product testing, software product maintenance and support, product release and license management, and product packaging for distribution; and business and technology consulting services, such as strategy and road map formulation, assessment and evaluation, solution architecture consulting, solution building or integration, portal development consulting, software as a service delivery consulting, and professional cloud services; and mobile development services.   Main Income is from Information Technology Services",Accept
225,"Company is engaged in providing knowledge and business process outsourcing company. The Company provides operational support, data management and analytics solutions to companies. The Company provides financial solutions, such as middle office services, back office services, finance and accounting, ancillary services and asset class coverage. Its digital services include creative production, computer generated images, digital production, analytics and insights. Its cable and telecom services and solutions include technical operations and dispatch, customer interaction monitoring and analytics, end user chat support, support services and reporting and analytics.   Main Income is from Business Process Outsourcing",Reject
226,"Company is engaged in providing cad drawing services, product designs services & 3d designs services  Main Income is from Engineering Design Services",Reject
227,"Company is engaged in providing document management software, submission management software & regulatory submission content management solution. It also provides pharmacovigilance services. Main Income is from Services",Reject
228,"compnay is engaged in providing web chat service, sales service   Main Income is from Call Center Services",Reject
229,"Company is engaged in providing  provides board advisory, CEO and leadership succession planning, executive search and assessment, and leadership development services worldwide  Main Income is from Services.",Reject
230,Company is engaged in providing Real Estate  Main Income is from Civil Construction Contracts,Reject
231,Company is engaged in providing manufacturing of refrigeration and heating equipment.  Main Income is from Compressors,Reject
232,"Company is engaged in providing information technology (IT) trading business in India. It resells IT products, peripherals, and services.  Main Income is from Software Package",Reject
233,"Company is engaged in providing Certification licensed by Controller of Certifying Authorities, under Government of India. eMudhra operates under the guidelines set by Information Technology Act. With more than one million certificates issued, eMudhra caters to all kinds of subscribers who use Digital Certificates for Income Tax, MCA (ROC), Tenders, Foreign Trade, Banking, Railways and many other needs.  Main Income is from Services",Reject
234,"Company is engaged in providings outsourcing management solutions to businesses, information technology companies, and ITO and BPO service providers. The company offers Enlighta GOVERN Suite, an outsourcing vendor governance solution; and Enlighta DELIVER Suite, a services delivery governance solution. Its solutions enable its users to manage catalog and design services, automate governance processes, monitor performances and SLA compliances, analyze and resolve issues and exceptions, reconcile and report service billing, and audit and change services. The company offers its solutions through a shared GSG platform.   Main Income is from Software Developmentcharges",Reject
235,"Company is engaged in providing  information technology and management consulting services. The company offers cybersecurity, software development and integration, management consulting, and business process outsourcing, as well as industry specific solutions.  Main Income is from Software Maintenance Charges",Reject
236,"Company is engaged in providing supply chain after-market service operations. Its services include spare parts planning, service chain visibility and control, field network utilization, warranty analytics, asset availability and uptime, service parts optimization, returns and repairs planning, and excess and obsolescence. It serves Fortune 100 companies in various industries, such as hi-tech; mobility, oil and gas; automotive; manufacturing; and mining.  Main Income is from Software Development",Reject
237,Company is engaged in providing environmental engineering services.   Main Income is from Turnkey Income,Reject
238,"Company is engaged in providing vendor and technology-agnostic support services. It offers consulting and systems integration (CSI), application development and maintenance (ADM), managed services (operations, engineering), network rollout, and software delivery services.   Main Income is from Network Ope. System Inte.& Software Support. The company operates in two segments viz network operating system & software support(88%) and software development(12%)[2018].",Reject
239,Company is engaged in providing development of geographic information system software and solutions. Main Income is from Services,Accept
240,Company is engaged in providing manufacturing of boilers  Main Income is from Printer,Reject
241,"Company is engaged in providing financial services. The Company offers money transfer, outsourcing, payment, and banking services.   Main Income is from Eft Revenue Outsourcing Development. The company operates in three segments viz EFT services(85%), E-pay(13%) and professional services(2%)[2018].",Reject
242,"Company is engaged in providing knowledge process outsourcing services. Its services include investment research, business research, intellectual property and legal process, market research, and data and financial analytics. The company offers research and consulting services, such as business development, research and report writing, and recommendation and design. It serves automotive, chemicals, consumer goods, energy and utilities, information technology, law firms, life sciences, logistics, manufacturing, media and entertainment, real estate, retail, and telecom industries.  Main Income is from Services",Reject
243,Company is engaged in providing the manufacturing of seamless steel gas cylinders  Main Income is from Gas Cylinders,Reject
244,"company is engaged in providing software outsourcing and engineering, agile software development and information technology consulting services. They provide app development and maintenance, ERP and CRM solutions, quality assurance services nad mobile app development services. Main Income is from Software Development Charges",Accept
245,"Company is engaged in providing information technology (IT) enabled business process outsourcing (BPO) services, development of infrastructure facility and general trading. The Company operates through three segments: Infrastructure, BPO / IT enabled services and general trading segment. The Infrastructure segment is engaged in infrastructure activities, such as construction of roads and highways, and mining, among others. The BPO / IT enabled services segment is engaged in the business of providing customer care services and handling the business relations of clients on their behalf by maintaining relation with their consumers and also providing service by assisting them in managing their work flow and updating their records. The BPO / IT enabled services segment also provides inbound and outbound services to its clients. The general trading segment is engaged in the business of general trading.  Main Income is from Trading Business. The company operates in two segments viz trading activities(64%) and IT/BPO enabled services(36%)[2018].",Reject
246,"Company is engaged in providing software solutions. The Company offers mobility, cloud, big data, testing, and application services and solutions. Main Income is from Computer Software",Accept
247,"Company is engaged in providing software testing services focusing on Banking, Financial and Insurance services industry.  Main Income is from Software Services (Overseas)",Reject
248,Company is engaged in providing integrated engineering and construction   Main Income is from Contracts,Reject
249,"website unavailable  Main Income is from Engineering,Design & Global Sourcing Services",Reject
250,Adequate qualitative data not available. Main Income is from Services.,Reject
251,Company is engaged in providing telephone voice and data communications services.  Main Income is from It Enabled Bpo Services,Reject
252,company is engaged inproviding  integrated infrastructure services.  Main Income is from Professional Income,Reject
253,"Company is engaged in providing Business Process Outsourcing services. It offers financial solutions and payment solutions to a wide array of international financial institutions. The company is based in Gurugram, India.   Main Income is from Software Development Services",Reject
254,company is engaged in providing manufacture and supply of automotive lighting and signaling equipment  Main Income is from Automotive Lighting & Signalling Equipment. The company operates in one segment viz automotives[2018].,Reject
255,company is engaged in providing packaged software development and integration for Wealth Management Structured Products businesses.   Main Income is from Income From Services,Reject
256,Company is engaged in providing software solutions for financial and related business activities.  Main Income is from Income From Services,Reject
257,"Company is engaged in providing designing and implementing technology solutions for banks, micro finance institutions (MFIs), insurance companies. Its products include a biometric smart card based no frills saving account product; end-to-end loan management solution that enables each branch of the bank/MFI to reach out to a large number of loan applicants and process the loan applications; and a solution which provides a technology platform and processing capabilities for remittance transactions. The company’s products also include a smart-chip card that establishes an individual's identity; a micro-insurance solution that provides a technology platform and processing capabilities for insurance businesses; an end-to-end deposits management solution; and which provides mobile banking, mobile e-wallet, and m-commerce for end users, as well as mobile based enrolment and mobile based POT for agents. The company also offers credit scoring, third party verification and risk management, core banking ASP, and business correspondent services, as well as an electronic banking technology payment platform.   Main Income is from Income From Services",Reject
258,company is engaged inproviding medical formulation research and development services company.   Main Income is from Project Income,Reject
259,"Company is engaged in providing  business process management services across the customer life cycle delivered through transaction processing. The Company's segments include Banking, Financial Services and Insurance and Non-Banking, Financial Services and Insurance. Its geographic segments include USA and Canada, UK, India and Rest of the world. It is involved in information technology-enabled services, including business process outsourcing. Its product portfolio includes productized solutions in Customer Interaction Analytics (First Customer Intelligence), Web Chat (First Chat), Process Automation (First Smartomation), Workforce Management (First WF Suite), Complaints Management (First Resolve) and First Digital. It works with both the payer and provider segments of the United States healthcare industry. The Company provides its services to a range of sectors, including healthcare, telecommunications and media, banking and insurance.  Main Income is from It Enabled Transaction Processing Services",Reject
260,"Company is engaged in providing  information management systems and services to the financial and insurance industries. It provide IT, quality assurance testing, business process outsourcing (BPO), and infrastructure services to customers in various financial services domains such as banking, credit unions, insurance, payments, credit cards, investments, lending, and healthcare.   Main Income is from It & Ites Services",Reject
261,"company is engaged in providing steel foundry, fabrication, and other related services  Main Income is from Sugar Machinery",Reject
262,"Company is engaged in providing a datacenter and cloud management platform. It offers a technology platform that manages data and correlates application instances, storage, flows, paths, and network services. The company’s platform visualizes and analyzes the physical and logical infrastructure for each individual application in a datacenter. FixStream Network Inc. has a strategic collaboration with Cherwell Software.   Main Income is from Software Development Services",Reject
263,"Company is engaged in providing inbound call center, transcription services, audio transcription services, bilingual transcription services, legal transcription services, online data entry,   Main Income is from Data Processing",Reject
264,"Company is engaged in providing engineering, procurement, construction, and maintenance services.  Main Income is from Services",Reject
265,"Company is engaged in providing logistics services. The company provides information technology solutions, including e-carex, a web-centric integrated enterprise application suite that enables B2B supply chain management services; eTLM, a task lead management system; eLog, a warehouse/inventory management system; eTrans, a multi modal freight management system; and Lmerge, a Web based collaboration portal, order management system, track and trace system, work flow and alerts management system, document management, and B:B integration system. Main Income is from Supporting Transport Services",Reject
266,company is engaged in providing manufacturing of cars  Main Income is from Information Technology Service,Reject
267,company is engaged in providing engineering support services to automobile compnaies  Main Income is from Services,Reject
268,"Company is engaged in providing  analytics solutions. It offers data transformation solutions, such as Concordia, a data delivery service that leverages data harmonization platform to solve cases of high volume, variety, and velocity; and dCryt, a product mapping solution. The company also provides insights and predictive analytics solutions, including Customer Genomics, a marketing platform that addresses customer acquisition, valuation management, attrition, loyalty, offer decisions, and interaction rules; Eavesdrop, a social listening tool that aggregates social media sentiments for marketing insights; Pincer that helps insurance carriers understand and predict the business impact associated with pricing changes; Segmentron, a segmentation modeling approach delivered with a visualization dashboard in a single slide view; and social media analytics services. In addition, it offers visualization analytics, including Business 360 Steering Wheel that delivers dashboards for visual storytelling; and Segmentron, a solution that includes a segmentation modeling approach to produce real-time tractable decisions. Further, the company builds a centralized analytics platform.  Main Income is from Income From Consultancy",Reject
269,"company is engaged in providing financial advisory services, financial investment services  Main Income is from Service Charges",Reject
270,"company is engaged in providing wholesale distribution of computers, computer peripheral equipment, and computer software.  Main Income is from It Services. The company operates in two segments viz sale of goods(51%) and sale of software license & services(49%)[2018].",Reject
271,"company is engaged in providing distribution of power distribution and protection systems.  Main Income is from Software Development. The company operates in eight segments viz engineering and other support services(55%), wind(25%), light model facility(11%), water(3%), oil and gas(2%), digital energy(2%),Em industrial solutions(1%), and transportation(1%)[2018].",Reject
272,"company is engaged in providing develops, manages, and operates international airports.  Main Income is from Dividend",Reject
273,company is engaged in providing construction and infrastructure services  Main Income is from Income From Lease Rentals,Reject
274,"Company is engaged in providing  design, manufacture, and supply of electronic products.   Main Income is from Services",Reject
275,"Company is engaged in providing computer programming, consultancy and related activities. The Company operates through software services segment. The Company is specialized in remote infrastructure management services, virtualization solutions and application management services. Its products include Collaboration Enabled Information Technology Service Management (CEITSM). Its services include Infrastructure Management, Workload Automation, Database Management, Middleware Services, Operating System Services, Information Technology Security Services, Application Management, Testing and Managed Print Services. Its Database Management Services include administration, monitoring, performance tuning, and migration and upgrades. Its Infrastructure Management services include storage management, platform hardening, systems integration, cloud hosting, and application packaging and distribution services. Its Testing services include test management, test automation and specialized services.  Main Income is from Income From Software Exports",Reject
276,company is engaged in providing Cable and Broadband Internet Service Provider  Main Income is from Subscription Income,Reject
277,company is engaged in providing construction services  Main Income is from Contracts,Reject
278,"company is engaged in providing Analytics & Prediction, Mobile App Personalization. Main Income is from Services",Reject
279,company is engaged in providing manufacturing of hydraulic and industrial hoses.   Main Income is from Rubber Hoses,Reject
280,company is engaged in providing infrastructure equipment rental services  Main Income is from Equipment Service Income,Reject
281,"Company is engaged in providing Computer programming, consultancy and related activities. The Company offers Geographical Information System (GIS)-based services. Its services include geospatial engineering, such as Consulting, Spatial Data conversion and migration, and Photogrammetry; Light Detection And Ranging (LiDAR) Engineering, such as Mobile LiDAR Survey and Mapping, Terrestrial LiDAR Survey and Mapping and Aerial LiDAR Scanning and Mapping, and Software Development. It is engaged in designing and developing complex location based products and solutions for enterprises, government and consumers.  Main Income is from Computer Software",Accept
282,"Company is engaged in providing web central database solutions, with GIS mapping integration, mobile field application and offline capabilities.  Main Income is from Services",Reject
283,company is engaged in providing design of underground works and infrastructures  Main Income is from Consultancy Income,Reject
284,"Company is engaged in providing conceptualizing, designing, and implementing enterprise software solutions. It offers back office solutions, such as FMS, a fund management system; SPARC, a settlement processing and risk control solution; PMS, a portfolio management system; and DPS, a solution to manage back office related functions of depository participants for NSDL and CDSL. The company also provides trading solutions, such as FLIP Me, a mobile trading application to place orders; FLIP Premium, a trading solution for dealers; FLIP Institutional, a financial investment platform over FIX; FLIP Platinum, an online solution to place and manage trades; FLIP Web, a browser-based application for optimized trading; FLIP Market Data Server that delivers essential market intelligence to traders and broking houses; and FLIP Ultimate, a financial investment platform eco-system through open source components. In addition, it offers MCash, a mobile cash payment system; SMART MTO that helps clients to automate and control critical processes; SMART SLIM, a shipping liner integrated management system; PACE, a CMMI-relevant project planning and management tool; and enterprise platform solutions, such as payroll management and fixed asset management systems. Further, the company provides front office services, such as consulting, application development and maintenance, quality assurance, and mobile application development; and technical services, including mobile testing, content management systems integration, data warehousing, inventory tracking, and BI and reporting. It serves banking, logistics, technology, and insurance industries, as well as capital markets in India and internationally.   Main Income is from Software Income",Reject
285,company is engaged in providing Manufacturer of continuous fluidized bed spray granulator  Main Income is from Consulting Engineering Services,Reject
286,website unavailable  Main Income is from It Enabled Services,Reject
287,"company is engaged in providing design and development, maintanence and support of embedded wireless software solutions and services. Main Income is from Software Services",Accept
288,Company is engaged in providing telecommunication and bandwidth services for companies.  Main Income is from Income From Data Centre Services,Reject
289,"Company is engaged in providing static website designing, dynamic website designing & responsive website designing  Main Income is from Development Of Computer Software",Reject
290,"Company is engaged in providing software product platforms for the pharmaceutical, BFSI, education, and enterprise sectors. It offers an end to end solution for organizations undergoing digital transformation; MedsApp, an application that connects pharma stockiests, chemists, and patients; a fingerprint scanner,a solution to implement security policies for all endpoint devices; and Enterprise Mobility Management Suite, a platform to monitor an organization’s devices remotely. Main Income is from Software.",Reject
291,"company is engaged in providing ERP,CRM, Cloud services and infrastructure management services  Main Income is from Services",Reject
292,"Company is engaged in providing operations and maintainence services of a software development park in India. It is also involved in share operations; commodity trading and arbitrage; and finance and capital market businesses.   Main Income is from Income From Operation & Maintenance Of Software. The company operates in four segments viz operations and maintenance of software development parks(79%), share operations(12%), commodity operations(8%) and others(1%)[2017].",Reject
293,"Company is engaged in providing non-exclusive service as reseller of Google LLC’s AdWords program in India on a principal-to-principal basis. The company also engages in business development and promotional activities. In addition, it also provides back end IT/ ITES support services.   Main Income is from Advertising & Distribution Services. The company operates in three segments viz advertising receipts & enterprise products(69%), ITeS(18%) and IT(13%)[2018].",Reject
294,"Company is engaged in providing development of collaborative outsourcing platform for the alternative investment space. It offers portfolio management and risk analytics; research and analytics; and operations solutions. Additionally, the company provides information technology services. It offers front to middle office workflow support services.   Main Income is from Services",Reject
295,"company is engaged in providing analytics, API management, cloud, DevOPS, AND IoT based solutions. Main Income is from Software Development",Accept
296,company is engaged in providing petrochemical products  Main Income is from Consultancy Fees,Reject
297,company is engaged in providing infrastructure studies and environment consultancy  Main Income is from Consultancy Fees,Reject
298,company is engaged in providing Industrial Inorganic Chemicals.  Main Income is from Acids,Reject
299,"company is engaged in providing adhesives, sealants & related products  Main Income is from Industrial Adhesives",Reject
300,"Company is engaged in providing information technology services, such as management, network security, and integration services.  Main Income is from Services. ",Reject
301,"company is engaged in providing global payments processor that processes and manages any credit, debit, or pre-paid card transaction globally. The company develops GPS Apex, integrated global processing platform that enables transactions to be processed securely. It offers its products and services to the growing fintech companies in the payment space.  Main Income is from Income From Bpo Services.The company operates in two segments viz BPO Services(79%) and investment advisory(21%)[2018].",Reject
302,"company is engaged in providing software, information technology (IT) infrastructure, and business process outsourcing services worldwide. It provides application development and maintenance services; SAP landscape transformation, system conversion, and implementation services; Microsoft customer relationship management, cloud, analytics, infrastructure, and workplace innovation services; Oracle business consulting, implementation, upgrade, managed, and migration services; and business assurance and testing services, as well as autonomics and orchestration services, products, and platforms.  Main Income is from Software And Related Technical Services.The company operates in three segments viz software services(60%),IT infrastructure Services(34%),and BPO services(7%)[2016].",Reject
303,"company is engaged in providing structured staffing, payroll processing and compensation structuring, management of labor and legal compliances, payroll regulatory compliance, employee reimbursement processing, and accounting services.   Main Income is from Business Process Management",Reject
304,company is engaged in providing  oilfield services  Main Income is from Operating Income,Reject
305,company is engaged in providing utility management company.   Main Income is from Construction Services,Reject
306,"company is engaged in providing a hybrid between an investment company and a diversified services corporation. The Company is engaged in providing information technology (IT) and IT enabled services, such as data entry services, and support services. It also provides business process outsourcing (BPO) services. Its segments are Software and IT Enabled Services, and Environment Solutions Services. Its subsidiaries include HOVS LLC and HOVS Holdings Limited.  Main Income is from Software Services & Development",Reject
307,Company is engaged in providing marketing and PR  Main Income is from Software Services,Reject
308,"company is engaged in providing support services to the banking and financial services division, which includes contact and data entry services. It delivers services in the areas of retail banking and wealth management, commercial banking, banking and markets, and private banking aspects. Main Income is from Back Office Support Services",Reject
309,"company is engaged in providing development, maintenance, and support of banking applications in Pune and Hyderabad.  Main Income is from Information Technology Software",Reject
310,company is engaged in providing  engineering design and consulting services   Main Income is from Professional Income,Reject
311,"company is engaged in providing software technology services for independent software vendors and enterprises. It provides product engineering, enterprise software development, and testing services. The company also offers solution consulting and technology services. Additionally, it provides system testing, performance engineering, and security testing services. The company offers products for cloud, mobility, big data and analytics, and consumer internet solutions. Main Income is from Software",Accept
312,"company is engaged in providing designs and engineering for automakers  Main Income is from Software Development Services. The company operates in four segments viz IDC(43%), CC(29%), Pro(22%), and LS(6%)[2018].",Reject
313,"company is engaged in providing medical billing services. The Company's services also include telebanking, telemarketing, database cleaning and verification, record verification and market research and surveys.  Main Income is from Rent. The company operates in 3 segments, Rent Income (74.66%), Office Back Up Operations (23.48%), Real Estate (1.86%)[2017].",Reject
314,"company is engaged in providing services in engineering, building physics & related areas.  Main Income is from Consultancy Services",Reject
315,"company is engaged in providing chemicals and allied products such as chemicals and petrochemicals, polymers, paper, metal, minerals, and natural rubber. Hazel Mercantile serves customers worldwide.  Main Income is from Chemicals. The company operates in one segment viz trading and distribution(100%)[2018].",Reject
316,"company is engaged in providing information technology consulting and technology services company in India. The company offers application development, maintenance, migration, and integration services. It serves financial services, manufacturing, public sector, and services industries.  Main Income is from Software Development",Reject
317,"company is engaged in providing call centre services, both inbound and outbound. It also provides data entry and digitization services. Main Income is from Business Support/Call Centre Income",Reject
318,"company is engaged in providing supplies and distributes weight management, nutritional, and personal care products.  Main Income is from Nutritional Products. The company operates in two segments viz distribution centre(91%) and IT(9%)[2018].",Reject
319,"company is engaged in providing information technology (IT), business process outsourcing (BPO) and consulting services. The Company is engaged in computer programming, consultancy and related services. Its service offerings include application development and management, enterprise package solutions, infrastructure management, business process and independent testing.  Main Income is from Computer Education",Reject
320,company is engaged in providing manufacturing of auto components.   Main Income is from Gear Box & Transmission Components,Reject
321,company is engaged in providing construction and engineering services  Main Income is from Engineering Procurement & Construction Management.The company operates in two segments viz engineering services(78%) and media and consulting services(22%)[2018].,Reject
322,"company is engaged in providing information technology services. The Company offers business IT and productivity solutions, maintenance and support, auditing, training, and process consulting services for public and government, telecom, manufacturing, and mining sectors. Highbar Technologies serves customers in India.  Main Income is from Income From Software Services & Products",Reject
323,"company is engaged in providing business process management services. The company provides a suite of DigiCX services and solutions, including voice/IVR, email, chat, text, social, self-service, mobile camera support, mobile messaging, and work at home. It also offers business process optimization solutions, such as back-office, human resources outsourcing, and B2B. In addition, the company provides digital transformation services comprising analytics, automation, and digital marketing solutions. Further, it is involved in investment activities; and the provision of customer relationship management programs in the consumer goods and services, e-commerce, telecom and media verticals, as well as contact center, consulting, call center, and offshoring services.  Main Income is from I.T. & I. T. Enabled Services",Reject
324,"company is engaged in providing  trading of Water cooled water chillers, gas turbine, power boilers.  Main Income is from Support Services",Reject
325,company is engaged in providing Steel rolling mill spares parts  Main Income is from Engineering Services,Reject
326,Adequate qualitative data unavailable.Main income is from Services.,Reject
327,company is engaged in providing engineering and management consulting.  Main Income is from Technical & Management Consultancy,Reject
328,company is engaged in providing manufacturing of portable generator sets & related products  Main Income is from Pumping Sets,Reject
329,"company is engaged in providing  light metals, steel, plastics and resins, general merchandise, parts, equipment/dies and molds, motorcycles and automobiles, and spare parts   Main Income is from Automobile Parts",Reject
330,"company is engaged in providing iOS Development, Android Development, Mobile app development, AngularJS, Full stack development, Go lang, Backend development, Frontend development, ReactJS. Main Income is from Software Development",Accept
331,"company is engaged in providing communications consulting and software services, provides consulting, systems architecture, software engineering, and testing services. It offers technology consulting and architecture, such as converged applications, mobile devices, wireless access, and embedded system design; product engineering services, which include OTT and IPTV, mobile terminals, radio/wireless, embedded, DSP, network management and BOSS, applications (cloud and SDP), telematics, VoIP and switching, wired, and FPGA and ASIC verification; and testing and technical support, including test automation, whitebox and blackbox testing, and technical support.   Main Income is from Software",Reject
332,company is engaged in providing manufacturing of general industrial machinery.  Main Income is from Systems,Reject
333,"company is engaged in providing manufactures industrial pumps, industrial vacuum pumps, and seal less canned motor pumps   Main Income is from Income From Cargo Operations",Reject
334,"company is engaged in providing manufactures industrial pumps, industrial vacuum pumps, and seal less canned motor pumps  Main Income is from Canned Motor Pumps",Reject
335,"company is engaged in providing various turnkey Web and Windows applications, database applications, Web application services, and Web-commerce sites for individual clients worldwide. The company offers domain specific products in the fields of finance, accounting, business and trade, stock broking, and manufacturing. Its products include HyperStock, a share broker accounting software; HyperCase, a stockbroker legal case management solution; HyperSoft newspaper and publication accounting software; Flat Account for co-operative housing society account maintenance; Manufacturing ERP, an integrated manufacturing management software; F.A.S.T, a fixed asset management and tracking software; B P M S, a budgetary planning and monitoring system; KYC for digital record management; and Hyper-KOT, a restaurant management system. The company also provides commodities broker back office accounting software; a portfolio management software; and payroll HRMS solution. In addition, it offers IT consulting services on Web and client-server products;Further, the company provides application development, business integration, and application maintenance services, as well as various IT programming services; offshore development and software services; and voice based BPO services to international customers.   Main Income is from Computer Software",Reject
336,company is engaged in providing manufacturing of auto componants  Main Income is from Engineering/Consulting Engg. Services,Reject
337,"company is engaged in providing manufacturing, development, and selling computer hardware and software, and also offers infrastructure services, hosting services, and consulting services. The company manufactures systems and servers, including power systems, mainframes, blade centers, UNIX servers, and Linux servers; and storage systems that include disk systems, tape systems, storage area networks, network attached storage, and other storages. It offers software products, such as business analytics, enterprise content management, information management, lotus, software management, service management, systems software, and storage software; and WebSphere, an integration and optimization software. In addition, it offers business services, which include business analytics and optimization, strategy and transformation, and functional and midmarket expertise; and IT services, including application innovation and management, business continuity and resiliency services, end user services, integrated communication services, middleware services, security and privacy services, server services, site and facilities services, and storage and data services. Further, the company provides business process outsourcing, IT outsourcing and hosting, training, asset recovery, commercial financing, hardware financing, and software financing services. It serves financial services, government, education, automotive, telecommunications, and healthcare industries.  Main Income is from Services. The company operates in five segments viz global delivery(69%), technology services, cloud platform and global business services(23%), systems and cognitive solutions(5%), global financing(2%), and others(1%)[2018].",Reject
338,company is engaged in providing  manufacturing and selling of commercial vehicle body structures  Main Income is from Fertiliser,Reject
